yr.bp,all.temp,all.temp.sd,all.moist,all.moist.sd,midgeA.temp,midgeA.n,midgeB.temp,midgeB.n,pollenAnn.temp,pollenAnn.n,pollenSumm.temp,pollenSumm.n,other.temp,other.n,goa.istop,goa.n,seaice,seaice.n
250,-0.09,0.87,-0.12,0.69,-0.01,6,0.15,10,-0.09,8,-0.02,9,0.04,7,-0.44,4,1.28,3
750,-0.19,0.85,-0.06,0.77,-0.14,7,-0.08,12,-0.06,8,0.08,9,-0.06,7,-0.17,4,0.56,3
1250,-0.32,0.71,-0.43,0.93,-0.26,7,0.02,11,0.01,8,0.32,9,-0.88,7,0.52,4,0.24,3
1750,-0.29,0.63,-0.09,0.74,-0.1,7,-0.01,12,-0.05,8,0.13,9,-0.45,7,0.67,4,-0.19,3
2250,-0.12,0.73,-0.02,0.74,0.1,6,0.18,9,-0.07,8,-0.26,9,0.11,7,-0.32,4,-0.5,3
2750,-0.12,0.81,0.05,0.62,0.04,7,0.06,12,0.09,8,0.41,9,0.04,7,-0.02,4,-0.42,3
3250,-0.1,0.61,0.13,0.72,-0.02,7,0.03,12,0.19,8,0.34,9,-0.24,7,-0.52,4,-0.64,2
3750,0.1,0.85,0,0.55,-0.02,6,-0.01,9,0.07,8,0,9,-0.12,7,-0.34,4,-0.03,3
4250,0.08,0.69,-0.26,0.46,0.06,7,0.22,10,0.03,8,0.11,9,-0.11,7,-0.89,4,-0.13,3
4750,0.12,0.79,-0.12,0.68,0.07,7,0.08,11,0.11,8,0.09,9,0.3,7,-0.67,3,-0.68,3
5250,0.17,0.75,-0.14,0.72,0.16,6,0.25,9,0.2,8,0.4,9,0.56,7,0.32,4,-0.32,3
5750,0.15,0.79,-0.24,0.7,0.24,7,0.34,9,0.11,8,0.55,9,0.81,7,0.92,4,0.19,3
6250,0.29,0.94,-0.16,0.7,0.11,7,0.21,8,0.19,8,0.47,9,0.65,5,0.52,4,0.62,2
6750,0.15,0.89,0.02,0.9,0.02,6,0.19,10,0.16,8,0.05,9,1.32,1,-0.15,4,0.55,3
7250,0.06,0.72,-0.41,0.91,0.04,6,0.19,9,0.07,7,0.47,8,0.13,5,-0.1,4,0.42,1
7750,0.07,0.89,-0.14,1.11,-0.14,5,0.17,10,-0.08,8,-0.26,9,-0.3,3,0,4,0.07,2
8250,-0.04,0.76,0.24,0.97,-0.14,6,0.04,9,-0.25,7,-0.45,8,-0.54,3,0.78,2,1.06,2
8750,-0.03,0.91,0.15,0.91,-0.1,5,-0.1,8,-0.41,8,-1.19,9,1.39,3,1.33,3,,
9250,0.24,1.32,-0.05,1.09,0.14,6,0.02,10,-0.55,6,-0.7,7,-0.3,2,0.63,3,,
9750,0.21,1.16,-0.13,0.96,0.1,6,0.37,9,-0.39,8,-1.22,9,-0.16,3,1.64,3,,
10250,0.15,1.53,0.68,1.46,-0.18,4,0.1,9,0.14,7,-2.16,8,-1,3,-0.17,2,,
10750,-0.41,2.01,0.64,1.98,-0.28,5,0.05,9,-0.88,7,-3.32,8,-0.9,3,0,2,,
11250,-0.06,1.96,0.7,1.9,-0.48,3,0.14,8,0.06,7,-2.4,8,-1.51,2,-0.4,2,,
